Date,Activity,TotalTime
2024-05-01,/,/
2024-05-02,"Vacuuming & Refrigerator cleaning",/
2024-05-03,/,/
2024-05-04,/,/
2024-05-05,/,/
2024-05-06,/,/
2024-05-07,Vacuuming,/
2024-05-08,/,/
2024-05-09,Vacuuming,/
2024-05-10,/,/
2024-05-11,/,/
2024-05-12,/,/
2024-05-13,/,/
2024-05-14,Vacuuming,/
2024-05-15,/,/
2024-05-16,Vacuuming,/
2024-05-17,/,/
2024-05-18,/,/
2024-05-19,/,/
2024-05-20,/,/
2024-05-21,Vacuuming,/
2024-05-22,/,/
2024-05-23,Vacuuming,/
2024-05-24,/,/
2024-05-25,/,/
2024-05-26,/,/
2024-05-27,/,/
2024-05-28,Vacuuming,/
2024-05-29,/,/
2024-05-30,Vacuuming,/
2024-05-31,"Window cleaning",/
2024-06-01,/,/
2024-06-02,/,/
2024-06-03,/,/
2024-06-04,"Vacuuming & Refrigerator cleaning",/
2024-06-05,/,/
2024-06-06,Vacuuming,/
2024-06-07,/,/
2024-06-08,/,/
2024-06-09,/,/
2024-06-10,/,/
2024-06-11,Vacuuming,/
2024-06-12,/,/
2024-06-13,Vacuuming,/
2024-06-14,/,/
2024-06-15,/,/
2024-06-16,/,/
2024-06-17,/,/
2024-06-18,Vacuuming,/
2024-06-19,/,/
2024-06-20,Vacuuming,/
2024-06-21,/,/
2024-06-22,/,/
2024-06-23,/,/
2024-06-24,/,/
2024-06-25,Vacuuming,/
2024-06-26,/,/
2024-06-27,Vacuuming,/
2024-06-28,"Window cleaning",/
2024-06-29,/,/
2024-06-30,/,/
2024-07-01,/,/
2024-07-02,"Vacuuming & Refrigerator cleaning",/
2024-07-03,/,/
2024-07-04,Vacuuming,/
2024-07-05,/,/
2024-07-06,/,/
2024-07-07,/,/
2024-07-08,/,/
2024-07-09,Vacuuming,/
2024-07-10,/,/
2024-07-11,Vacuuming,/
2024-07-12,/,/
2024-07-13,/,/
2024-07-14,/,/
2024-07-15,/,/
2024-07-16,Vacuuming,/
2024-07-17,/,/
2024-07-18,Vacuuming,/
2024-07-19,/,/
2024-07-20,/,/
2024-07-21,/,/
2024-07-22,/,/
2024-07-23,Vacuuming,/
2024-07-24,/,/
2024-07-25,Vacuuming,/
2024-07-26,/,/
2024-07-27,/,/
2024-07-28,/,/
2024-07-29,/,/
2024-07-30,Vacuuming,/
2024-07-31,"Window cleaning",/
2024-08-01,"Vacuuming & Refrigerator cleaning",14:32
